review_id,sentence_num,username,date,rating,source,sentence,sentiment,confidence,prob_negative,prob_neutral,prob_positive,sentiment_std,rating_numeric
0,1,kupatea,2020-10-29 00:00:00.000,60.0,imdb,Good animation but story writing needs improvement: The animation was fun to watch specially that you don't see that much Filipino animation online,positive,0.9661962985992432,0.03378630056977272,1.734678153297864e-05,0.9661962985992432,positive,60.0
0,2,kupatea,2020-10-29 00:00:00.000,60.0,imdb,"The thing that I don't like about this movie is that it has too many dirty jokes that aren't that funny, and I think it would've been done better if the jokes were timed right",negative,0.89691162109375,0.89691162109375,6.05072382313665e-05,0.10302785784006119,negative,60.0
0,3,kupatea,2020-10-29 00:00:00.000,60.0,imdb,"The story flow was messy, some parts were fast, some parts were slow",negative,0.7876724004745483,0.7876724004745483,2.1396812371676788e-05,0.2123061567544937,negative,60.0
0,4,kupatea,2020-10-29 00:00:00.000,60.0,imdb,"I actually found myself watching this movie with a straight face, i guess i was expecting too much since the teasers hyped me up",positive,0.8960018754005432,0.10397496074438095,2.315638994332403e-05,0.8960018754005432,positive,60.0
0,5,kupatea,2020-10-29 00:00:00.000,60.0,imdb,Guess the way the story was written isn't my cup of tea,negative,0.7609416246414185,0.7609416246414185,4.972703391104005e-05,0.23900867998600006,negative,60.0
0,6,kupatea,2020-10-29 00:00:00.000,60.0,imdb,Kudos to those people who worked on this animation,positive,0.9891696572303772,0.010818359442055225,1.1861631719511934e-05,0.9891696572303772,positive,60.0
0,7,kupatea,2020-10-29 00:00:00.000,60.0,imdb,hope to see more animation projects in the future,positive,0.9855508804321289,0.014424711465835571,2.441559627186507e-05,0.9855508804321289,positive,60.0
1,1,whiteboiii30,2020-11-04 00:00:00.000,70.0,imdb,"Good Overall: I set my expectations low, when I saw the mainstream local actors were the voice of the characters",positive,0.9836071729660034,0.016369564458727837,2.3356211386271752e-05,0.9836071729660034,positive,70.0
1,2,whiteboiii30,2020-11-04 00:00:00.000,70.0,imdb,Its premise as typical cheap romantic comedy gives me a bad vibes because of reputation of poorly-made-overused plot lines that plagues Filipino mainstream cinema,negative,0.9593997001647949,0.9593997001647949,5.7881854445440695e-05,0.04054240137338638,negative,70.0
1,3,whiteboiii30,2020-11-04 00:00:00.000,70.0,imdb,But I still give it a chance because Filipino animations are not common,positive,0.834820032119751,0.16512839496135712,5.1523074944270775e-05,0.834820032119751,positive,70.0
1,4,whiteboiii30,2020-11-04 00:00:00.000,70.0,imdb,I like the cultural references and the catch of the story,positive,0.9942241311073303,0.005763187073171139,1.2719246115011629e-05,0.9942241311073303,positive,70.0
1,5,whiteboiii30,2020-11-04 00:00:00.000,70.0,imdb,"I think making it as adult, dark comedy animation film is a great move",positive,0.9957335591316223,0.00424068421125412,2.57632364082383e-05,0.9957335591316223,positive,70.0
1,6,whiteboiii30,2020-11-04 00:00:00.000,70.0,imdb,"In short ""Hayop Ka",negative,0.767661452293396,0.767661452293396,8.602205343777314e-05,0.2322525531053543,negative,70.0
1,7,whiteboiii30,2020-11-04 00:00:00.000,70.0,imdb,""" Exceeds my expectations, 7/10",positive,0.9919735193252563,0.00801073107868433,1.5734009139123373e-05,0.9919735193252563,positive,70.0
2,1,Lloydee98,2021-01-11 00:00:00.000,70.0,imdb,"IT'S CLICHED, FUN AND QUITE TOUCHING: During the first half of ""Hayop Ka,"" tons of cliches from filipino teleseryes and movies were shown, including some funny jokes and references",positive,0.991523265838623,0.008463329635560513,1.336233617621474e-05,0.991523265838623,positive,70.0
2,2,Lloydee98,2021-01-11 00:00:00.000,70.0,imdb,"But after an argument scene that features Robin Padilla's terrific voice acting, the film actually got better",positive,0.9483972787857056,0.05158393457531929,1.881821663118899e-05,0.9483972787857056,positive,70.0
2,3,Lloydee98,2021-01-11 00:00:00.000,70.0,imdb,"Despite being quite annoying during the first half, the character of Nymfa won me over due to her journey and the ending wherein I realized that a lot of Filipinas end up with the same situation",positive,0.9805200695991516,0.019459297880530357,2.0676750864367932e-05,0.9805200695991516,positive,70.0
3,1,riyandans,2020-10-31 00:00:00.000,70.0,imdb,"A suprise from SEA: Well the animation is good also VA and character design, but storyline need some improvement i was just get disappointed when how the ending comes like that i just kinda hoping that after credits there is some sort epilogue will explain how Nimfa's life foward",positive,0.9336133003234863,0.06637383997440338,1.2776559742633253e-05,0.9336133003234863,positive,70.0
